uid,title,url,image,contenttype,serie,year,normalized,characters,firstparagraph,allpixels,paperpixels,paintedpixels,description,country,duration,seconds,mp3,interviews
t-011,Instalarán en la UNC el primer radar meteorológico de producción nacional,https://unciencia.unc.edu.ar/tecnologia/instalaran-en-la-unc-el-primer-radar-meteorologico-de-produccion-nacional/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/10/UNCiencia_RMA1_radar_meteorologico-cba-061-1024x503.jpg,Artículos,Tecnología,2014,0.270912,7138.0,Estará montado a mediados de noviembre en la Ciudad Universitaria. Constituye un paso fundamental hacia la concreción del Sistema Nacional de Radares Meteorológicos. Fue desarrollado por Invap y además de colaborar en el pronóstico y descripción del tiempo&#x2c; permitirá prevenir diferentes contingencias ambientales como crecidas repentinas de los ríos&#x2c; caída de granizo o la ocurrencia de tormentas severas. Entre otras aplicaciones también brindará mayor seguridad a la aeronavegación. [08.10.2014],,,,,,,,,
t-012,La mayoría de los estudiantes de Medicina y Abogacía de la UNC están a favor de la eutanasia,https://unciencia.unc.edu.ar/sociedad/la-mayoria-de-los-estudiantes-de-medicina-y-abogacia-de-la-unc-estan-a-favor-de-la-eutanasia/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/4/files/sites/4/2014/10/la-mayoria-de-los-estudiantes-de-medicina-y-abogacia-de-la-unc-estan-a-favor-de-la-eutanasia.jpg,Artículos,Sociedad,2014,0.268977,7087.0,El dato surge de un estudio cuantitativo desarrollado por investigadores de la Facultad de Derecho y Ciencias Sociales. Participaron 552 universitarios de ambas carreras&#x2c; en su mayoría católicos. El 58% de los encuestados manifestó actitudes a favor de la eutanasia. En 2012&#x2c; Córdoba sancionó la ley de «Voluntad Anticipada y Muerte Digna». En mayo de este año se reunió por primera vez la Comisión Consultiva Interdisciplinaria que elaborará el anteproyecto para su reglamentación. [01.10.2014],,,,,,,,,
t-013,"El incremento de las lluvias, el cambio climático más importante en el centro de Argentina",https://unciencia.unc.edu.ar/medioambiente/el-incremento-de-las-lluvias-el-cambio-climatico-mas-importante-en-el-centro-de-argentina/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/09/UNCiencia_Incremento_lluvias-041-1024x503.jpg,Artículos,Medioambiente,2014,0.204304,5383.0,Así lo revela un estudio que analizó los datos de temperatura y precipitaciones registrados entre 1941 y 2010. Las estadísticas fueron proporcionadas por el Servicio Meteorológico Nacional y corresponden a relevamientos efectuados en 44 estaciones&#x2c; distribuidas en las provincias de Córdoba&#x2c; San Luis&#x2c; Santa Fe&#x2c; La Rioja&#x2c; La Pampa y Buenos Aires. El trabajo reconoce que el fenómeno atenuó significativamente la aridez de la región central del país e incide en el avance de la frontera agrícola. [24.09.2014],,,,,,,,,
t-014,Kornblihtt: “Creo más en el compromiso social del científico que en la importancia social de su tema de investigación”,https://unciencia.unc.edu.ar/ciencia/kornblihtt-creo-mas-en-el-compromiso-social-del-cientifico-que-en-la-importancia-social-de-su-tema-de-investigacion/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/09/UNCiencia_Alberto_Kornblihtt-05-1-1024x503.jpg,Artículos,Ciencia,2014,0.431646,11373.0,El reconocido biólogo molecular argentino concibe el trabajo del investigador como “parte de una militancia”&#x2c; y asegura que los científicos deben asumir el compromiso con la sociedad que financia la posibilidad de hacer ciencia. En esta entrevista&#x2c; Alberto Kornblihtt analiza la realidad actual de la ciencia argentina&#x2c; las tensiones entre la investigación básica y aplicada&#x2c; el debate alrededor del vínculo entre el sistema científico y productivo&#x2c; y el rol que debe asumir el Estado en ese proceso. [17.09.2014],,,,,,,,,
t-015,Confirman la circulación del virus de la Hepatitis E en Córdoba,https://unciencia.unc.edu.ar/salud/confirman-la-circulacion-del-virus-de-la-hepatitis-e-en-cordoba/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/09/UNCiencia_Hepatitis_E-06-1-1024x503.jpg,Artículos,Salud,2014,0.247837,6530.0,Se transmite por vía fecal-oral y puede desencadenar hepatitis aguda&#x2c; aunque la mayoría de las veces la enfermedad se presenta sin síntomas. Un estudio analizó muestras del río Suquía&#x2c; de residuos cloacales y de un banco de suero humano conformado a partir de extracciones realizadas años atrás a vecinos sanos de prácticamente todos los barrios de la ciudad. ¿El resultado? El 4&#x2c;4% de la población estuvo alguna vez en contacto con este virus. [17.09.2014],,,,,,,,,
t-016,Desarrollan un test para la detección temprana de la dislexia,https://unciencia.unc.edu.ar/psicologia/desarrollan-un-test-para-la-deteccion-temprana-de-la-dislexia/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/09/UNCiencia_test_dislexia_02-1-1024x503.jpg,Artículos,Psicología,2014,0.322188,8489.0,La herramienta evalúa la velocidad de lectura en niños de corta edad. Es la primera en su tipo diseñada en el país y fue realizada por un equipo de psicólogos de la UNC. Busca identificar tempranamente indicadores de ese trastorno de aprendizaje&#x2c; que suele pasar desapercibido o ser mal diagnosticado y cuya consecuencia más común es el bajo rendimiento académico. A nivel mundial&#x2c; entre el 10 y el 15 por ciento de la población escolar sufre este trastorno. En Argentina&#x2c; afectaría a más de 400 mil alumnos de primaria. [10.09.2014],,,,,,,,,
t-017,Los derechos de los reclusos en las cárceles de Córdoba,https://unciencia.unc.edu.ar/derechos-humanos/los-derechos-de-los-reclusos-en-las-carceles-de-cordoba/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/09/UNCiencia_Situacion_de_encierro-011-1024x503.jpg,Artículos,Derechos humanos,2014,0.308638,8132.0,El sistema penitenciario provincial no logra asegurar el acceso al trabajo&#x2c; a la educación&#x2c; a la salud&#x2c; a la recreación y a la propia integridad psicofísica de las personas privadas de la libertad. El dato surge de un informe de monitoreo elaborado por organizaciones sociales&#x2c; dependencias del estado provincial y universidades nacionales de Córdoba&#x2c; que será presentado mañana&#x2c; 4 de septiembre&#x2c; en el marco de la Feria del Libro. [03.09.2014],,,,,,,,,
t-018,Novedoso detector de venas no invasivo,https://unciencia.unc.edu.ar/innovacion/novedoso-detector-de-venas-no-invasivo/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/09/RKsfWmRi-1024x503.jpg,Artículos,Innovación,2014,0.272848,7189.0,El aparato médico permite encontrar fácilmente los vasos sanguíneos en personas de difícil acceso venoso. Funciona con luz infrarroja y está destinado a pacientes bajo tratamiento de quimioterapia intravenosa y hemodiálisis&#x2c; aunque puede tener un uso general. Está pensado para ser producido en su totalidad con componentes locales y su costo total por unidad es de 1.600 pesos. En el mercado existen otros sistemas de visión artificial de venas&#x2c; pero ninguno es de producción nacional. Es un desarrollo de dos egresadas de la carrera de Diseño Industrial de la UNC que ya recibió reconocimiento internacional. [27.08.2014],,,,,,,,,
t-019,Analizan 20 mil documentos de la dictadura con un software desarrollado por expertos en computación,https://unciencia.unc.edu.ar/derechos-humanos/analizan-20-mil-documentos-de-la-dictadura-con-un-software-desarrollado-por-expertos-en-computacion/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2021/03/Digitalizacion_archivos-APM-051-1024x503.jpg,Artículos,Derechos humanos,2014,0.235881,6215.0,Con un programa de reconocimiento óptico de caracteres y autocorrección creado a medida&#x2c; especialistas procesan un lote de registros conservados en el Archivo Provincial de la Memoria. La iniciativa&#x2c; pionera en Argentina&#x2c; apunta a extraer información de personas&#x2c; lugares y fechas para facilitar su sistematización y el establecimiento de relaciones en la búsqueda de datos que permitan clarificar los delitos de lesa humanidad cometidos en los centros clandestinos de detención. Los resultados pueden aportar pruebas en los Juicios por la Verdad que se desarrollan en distintas provincias. [20.08.2014],,,,,,,,,
t-020,Argentina podría sustituir la importación de combustibles con la producción de hidrógeno,https://unciencia.unc.edu.ar/medioambiente/argentina-podria-sustituir-la-importacion-de-combustibles-con-la-produccion-de-hidrogeno/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/08/UNCiencia_Potencial_Hidrogeno_Argentina-011-1024x503.jpg,Artículos,Medioambiente,2014,0.447017,11778.0,En 2010 se importaron más de 1&#x2c;6 millones de m3 de nafta y gasoil por un total de 968 millones de dólares. El país podría reemplazar estas importaciones con sólo utilizar el 10% de las tierras aptas para proyectos de energías renovables distribuidas en todo el territorio. El dato surge de un estudio de factibilidad que analiza el potencial nacional para la producción de hidrógeno a partir de las energías eólica&#x2c; solar y de biomasa. [14.08.2014],,,,,,,,,
t-021,Así se construye la primera minoría religiosa de Argentina,https://unciencia.unc.edu.ar/sociedad/asi-se-construye-la-primera-minoria-religiosa-de-argentina/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/08/UNCiencia_1ra_minoria_religiosa-011-1024x503.jpg,Artículos,Sociedad,2014,0.200509,5283.0,El movimiento evangélico se ha afianzado y expandido en el país. Actualmente representa el nueve por ciento de la población. Una investigación realizada en la localidad Malvinas Argentinas&#x2c; de la provincia de Córdoba&#x2c; da cuenta de las diversas prácticas que influyen en el crecimiento de esta creencia. [14.08.2014],,,,,,,,,
t-022,Las estrellas del sur tienen un nuevo espejo donde contemplarse,https://unciencia.unc.edu.ar/astronomia/las-estrellas-del-sur-tienen-un-nuevo-espejo-donde-contemplarse/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/08/unciencia_aluminizacion_espejo_bosque_alegre_5801-1024x503.jpg,Artículos,Astronomía,2014,0.449142,11834.0,Técnicos del Observatorio Astronómico de Córdoba aluminizaron el espejo del telescopio mayor ubicado en la Estación Astrofísica de Bosque Alegre. Es un procedimiento al que debe someterse periódicamente la óptica de 1&#x2c;54 metros de diámetro para mantener su reflectividad y asegurar así la máxima calidad de la imagen durante las observaciones. La tarea demandó tres días de trabajo y es una conjunción de pasión&#x2c; ingenio&#x2c; conocimientos heredados e innovaciones de urgencia. Esta puesta a punto deja al segundo telescopio más importante de Argentina en óptimas condiciones para futuros proyectos científicos. [07.08.2014],,,,,,,,,
t-023,Gabriel Rabinovich: “En ciencia es muy importante equivocarse”,https://unciencia.unc.edu.ar/ciencia/gabriel-rabinovich-en-ciencia-es-muy-importante-equivocarse/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/08/UNCiencia_Gabriel_Rabinovich-011-1024x503.jpg,Artículos,Ciencia,2014,0.603803,15909.0,El científico argentino&#x2c; reconocido mundialmente por sus aportes al estudio y tratamiento del cáncer&#x2c; asegura que los desaciertos durante la investigación son tan necesarios como los aciertos. En diálogo con UNCiencia&#x2c; señala que los mejores resultados se obtienen recogiendo los talentos individuales del trabajo en equipo&#x2c; y dentro del sector público. Además&#x2c; destaca que en la última década se logró la jerarquización de la ciencia en el país y reclama continuidad en las políticas públicas implementadas hasta ahora. [07.08.2014],,,,,,,,,
t-024,De los videojuegos a los cálculos científicos,https://unciencia.unc.edu.ar/computacion/de-los-videojuegos-a-los-calculos-cientificos/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2021/02/UNCiencia_Centro_Computos_Alto_Rendimiento-011-1024x503.jpg,Artículos,Computación,2014,0.255276,6726.0,Las supercomputadoras se convirtieron en herramientas vitales para la ciencia por su capacidad para realizar cálculos con volúmenes gigantescos de datos. Semanas atrás&#x2c; la UNC triplicó la capacidad de cómputo de su mejor máquina&#x2c; apodada “Mendieta”&#x2c; hasta los 29 teraflops&#x2c; es decir&#x2c; 29 billones de operaciones con números reales por segundo. ¿La clave? Usan tarjetas gráficas muy similares a las que traen las consolas hogareñas de videojuegos&#x2c; pero conectadas entre sí. [30.07.2014],,,,,,,,,
t-025,Diseñan un test psicológico para diagnosticar la tecnoadicción,https://unciencia.unc.edu.ar/psicologia/disenan-un-test-psicologico-para-diagnosticar-la-tecnoadiccion/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/07/UNCIENCIA_Tecnoadictos-031-1024x503.jpg,Artículos,Psicología,2014,0.367922,9694.0,La herramienta evalúa el uso abusivo y patológico de las computadoras&#x2c; internet&#x2c; videojuegos&#x2c; telefonía móvil y de tecnología en general. Entre los factores personales que promueven la tecnodependencia convergen problemas como la depresión&#x2c; la ansiedad y la soledad; los rasgos de una personalidad impulsiva&#x2c; rígida e introvertida; y la influencia de la cultura consumista aunada al abaratamiento de costos de los dispositivos y su carácter perecedero. El instrumento ya se aplica en estudios descriptivos. [23.07.2014],,,,,,,,,
t-026,"“Los quince”, un ritual que no pierde vigencia",https://unciencia.unc.edu.ar/etnografia/los-quince-un-ritual-que-no-pierde-vigencia/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/07/los15-1024x503.jpg,Artículos,Etnografía,2014,0.224267,5909.0,El festejo representa un hito importante en la vida de las adolescentes&#x2c; íntimamente ligado a la construcción de su identidad. En este artículo&#x2c; una mirada etnográfica sobre la experiencia donde se entrecruzan género&#x2c; clase&#x2c; familia&#x2c; mercado&#x2c; juventud&#x2c; generación y Estado. [23.07.2014],,,,,,,,,
t-027,Una batalla contra el envejecimiento,https://unciencia.unc.edu.ar/salud/una-batalla-contra-el-envejecimiento/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2021/04/UNCIENCIA_inmunologia-1024x503.jpg,Artículos,Salud,2014,0.380826,10034.0,Científicos de la Facultad de Ciencias Químicas investigan cómo funciona el sistema inmune&#x2c; particularmente en organismos envejecidos. La clave es el CpG&#x2c; una sustancia que ayuda a mejorar la respuesta del cuerpo ante el ataque de microorganismos. Utilizando esta sustancia&#x2c; recientemente idearon una estrategia que permite aumentar el nivel de anticuerpos y la defensa celular&#x2c; un resultado alentador para el desarrollo de vacunas. Antes&#x2c; habían descubierto que al mezclar el CpG con una proteína específica&#x2c; los organismos viejos lograban defenderse tan bien como los jóvenes. [16.07.2014],,,,,,,,,
t-028,Las series de TV y los límites entre lo humano y lo animal,https://unciencia.unc.edu.ar/lenguas/las-series-de-tv-y-los-limites-entre-lo-humano-y-lo-animal/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/4/files/sites/4/2014/07/las-series-de-tv-y-los-limites-entre-lo-humano-y-lo-animal.jpg,Artículos,Lenguas,2014,0.158342,4172.0,Hace varios años que las series norteamericanas de televisión se convirtieron en un objeto de consumo e incluso de culto masivo. Los vampiros de True blood&#x2c; los asesinatos selectivos de Dexter&#x2c; y un largo etcétera de personajes y temáticas&#x2c; ya pueden ser considerados parte de la cultura popular. [16.07.2014],,,,,,,,,
t-029,La peligrosa cercanía a los campos fumigados,https://unciencia.unc.edu.ar/salud/la-peligrosa-cercania-a-los-campos-fumigados/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/4/files/sites/4/2014/07/evaluan-los-efectos-de-los-agroquimicos-en-el-interior-cordobes.jpg,Artículos,Salud,2014,0.181418,4780.0,Cuanto más cerca de las zonas donde se aplican pesticidas viven o trabajan las personas&#x2c; mayor es su riego de padecer enfermedades asociadas a intoxicaciones crónicas. Así lo demuestra un estudio del Instituto Superior de Estudios Ambientales (ISEA) de la UNC&#x2c; a partir de un trabajo de campo realizado en la localidad de Morrison&#x2c; en el sureste del territorio provincial. Entre las afecciones más frecuentes se ubicaron las de tipo ocular&#x2c; las cutáneas y los dolores de cabeza. También se detectó una elevada proporción de recién nacidos con bajo peso y de nacimientos antes de término. [10.07.2014],,,,,,,,,
t-030,Agresores sexuales: estudio revela un sobrediagnóstico de psicopatía,https://unciencia.unc.edu.ar/psicologia/agresores-sexuales-estudio-revela-un-sobrediagnostico-de-psicopatia/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/07/unciencia_agresores_sexuales_laura_lencina1-1024x503.jpg,Artículos,Psicología,2014,0.281388,7414.0,El 70% de los abusadores sexuales que cumplen condena en la cárcel de San Martín de la ciudad de Córdoba están diagnosticados como psicópatas. Pero una investigación revela que solamente el 30% sufre ese trastorno y que&#x2c; en cambio&#x2c; buena parte presenta rasgos psicóticos. El trabajo&#x2c; inédito en el país&#x2c; aporta datos para trazar un perfil psicológico del agresor sexual local. [02.07.2014],,,,,,,,,
t-031,Diseñan un elevador acuático para facilitar la hidroterapia a niños con parálisis cerebral,https://unciencia.unc.edu.ar/innovacion/disenan-un-elevador-acuatico-para-facilitar-la-hidroterapia-a-ninos-con-paralisis-cerebral/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/06/hidroelevador-1024x503.jpg,Artículos,Innovación,2014,0.346098,9119.0,El dispositivo&#x2c; que desarrollan dos estudiantes avanzadas de Diseño Industrial de la UNC&#x2c; permitirá a los pequeños ingresar y salir de las piletas donde realizan su rehabilitación de manera más eficiente y menos invasiva que la actual. El prototipo será construido en los próximos meses con materiales de industria nacional. Es uno de los proyectos seleccionados en la convocatoria “Córdoba Innova”. [26.06.2014],,,,,,,,,
t-032,Proponen ampliar 42 kilómetros la red de ciclovías en Córdoba,https://unciencia.unc.edu.ar/urbanismo/proponen-ampliar-42-kilometros-la-red-de-ciclovias-en-cordoba/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2014/06/unciencia_ciclovias_laura_lencina_11-1024x503.jpg,Artículos,Urbanismo,2014,0.199977,5269.0,La idea es que el trazado complementario se integre al existente. Buscan&#x2c; de esa forma&#x2c; mejorar la conectividad entre distintos puntos de la ciudad&#x2c; promover el uso de esas vías de circulación&#x2c; disminuir el empleo de automóviles y mejorar la movilidad urbana en general. [26.06.2014],,,,,,,,,
t-033,Estudio aleatorio detecta niveles elevados de plomo en niños,https://unciencia.unc.edu.ar/salud/estudio-aleatorio-detecta-niveles-elevados-de-plomo-en-ninos/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/31/files/sites/4/2021/04/unciencia_plomo_en_ninos_11-1024x503.jpg,Artículos,Salud,2014,0.351716,9267.0,El trabajo examinó a 161 menores de hasta 14 años que asistieron al Hospital de Niños de Córdoba en el período 2009/2010. El 16&#x2c;7% de ellos tuvo más de cinco microgramos del metal por decilitro de sangre&#x2c; el límite admitido en Estados Unidos y el que los investigadores tomaron como referencia&#x2c; ya que Argentina carece de valores máximos para la presencia de este elemento tóxico en el organismo. Incluso expuestos a dosis bajas de plomo&#x2c; con el tiempo&#x2c; los pequeños pueden sufrir síndrome de hiperactividad&#x2c; falta de atención y disminución del coeficiente intelectual. [26.06.2014],,,,,,,,,
t-034,Bosque Alegre participó en el descubrimiento del primer asteroide con anillos,https://unciencia.unc.edu.ar/astronomia/bosque-alegre-participo-en-el-descubrimiento-del-primer-asteroide-con-anillos/,https://unciencia.unc.edu.ar/wp-content/blogs.dir/4/files/sites/4/2014/03/bosque-alegre-participo-en-el-descubrimiento-del-primer-asteroide-con-anillos.jpg,Artículos,Astronomía,2014,0.418779,11034.0,Se trata de Chariklo&#x2c; uno de los más de 600 mil cuerpos menores del Sistema Solar. El hallazgo fue casual y revoluciona el campo de la Astronomía&#x2c; ya que hasta el presente se pensaba que los anillos eran exclusivos de planetas gigantes y gaseosos como Júpiter&#x2c; Saturno&#x2c; Urano y Neptuno. Junto al Grupo de Astrometría y Fotometría del Observatorio Astronómico de la UNC&#x2c; participaron científicos de España&#x2c; Francia&#x2c; Brasil&#x2c; Chile y Uruguay. [26.03.2014],,,,,,,,,
